iter	RMSE
0	73272.2416
1	70676.87109
2	68334.77878
3	66226.85049
4	64297.6912
5	62594.5917
6	61120.84177
7	59797.13762
8	58591.34813
9	57566.35464
10	56664.36899
11	55833.67243
12	55116.7601
13	54470.64029
14	53923.67607
15	53432.6358
16	52998.80785
17	52622.53334
18	52310.04469
19	52026.02743
20	51769.55989
21	51550.20462
22	51367.06605
23	51203.55449
24	51068.8012
25	50943.98755
26	50832.99884
27	50737.50461
28	50650.68006
29	50577.0621
30	50515.30194
31	50459.24337
32	50409.43727
33	50364.69391
34	50338.70171
35	50303.37895
36	50273.8979
37	50247.28941
38	50219.76037
39	50198.25832
40	50181.08408
41	50162.94913
42	50146.94089
43	50131.09925
44	50121.30674
45	50107.3664
46	50097.98004
47	50089.32961
48	50080.60173
49	50073.496
50	50065.49542
51	50059.68659
52	50054.1065
53	50047.00306
54	50038.51009
55	50032.86322
56	50027.14275
57	50021.89259
58	50017.69135
59	50013.4487
60	50011.85096
61	50006.65961
62	50002.71352
63	49998.93286
64	49995.29559
65	49991.20805
66	49987.39319
67	49983.27979
68	49979.27486
69	49976.60904
70	49972.4078
71	49968.27757
72	49966.14916
73	49962.02044
74	49959.08384
75	49955.27038
76	49951.56871
77	49948.2533
78	49945.12467
79	49942.19981
80	49937.83237
81	49935.43629
82	49932.07341
83	49930.11647
84	49928.34048
85	49925.89288
86	49921.43899
87	49917.65636
88	49917.64164
89	49913.9915
90	49911.97589
91	49909.97032
92	49909.96564
93	49909.83714
94	49907.90166
95	49905.45482
96	49903.37218
97	49901.11001
98	49898.7248
99	49896.85436
100	49895.14643
101	49891.46887
102	49888.70887
103	49886.4854
104	49884.28918
105	49882.29296
106	49879.55926
107	49876.93149
108	49874.758
109	49872.93488
110	49871.0236
111	49868.78365
112	49866.1944
113	49863.55607
114	49861.26542
115	49860.23278
116	49857.12676
117	49854.37908
118	49851.2897
119	49847.85462
120	49846.65633
121	49846.29602
122	49843.71877
123	49841.53289
124	49839.72407
125	49837.01256
126	49834.28093
127	49832.2024
128	49830.35755
129	49828.86978
130	49825.82565
131	49824.39085
132	49822.41156
133	49819.84194
134	49817.69803
135	49815.73949
136	49813.55566
137	49810.98935
138	49808.01434
139	49805.049
140	49802.93247
141	49800.85024
142	49797.02833
143	49794.14287
144	49791.50719
145	49789.55924
146	49786.61116
147	49783.79699
148	49780.36827
149	49777.86127
150	49775.84594
151	49773.28009
152	49771.19126
153	49769.29206
154	49766.71294
155	49764.01684
156	49760.47577
157	49758.49998
158	49756.25847
159	49754.16088
160	49751.84522
161	49749.17637
162	49746.69817
163	49745.0798
164	49742.11284
165	49738.67739
166	49736.57206
167	49734.15871
168	49731.14454
169	49728.20636
170	49725.61814
171	49723.25773
172	49720.71528
173	49718.3955
174	49715.82331
175	49713.20964
176	49710.81277
177	49708.39707
178	49705.84499
179	49703.6446
180	49700.97027
181	49697.83007
182	49695.09603
183	49692.50125
184	49689.72484
185	49687.32379
186	49685.30266
187	49683.05406
188	49680.45944
189	49678.66352
190	49673.87906
191	49672.02335
192	49669.85667
193	49667.81839
194	49664.40321
195	49662.20556
196	49659.49098
197	49657.36492
198	49654.53552
199	49651.69388
200	49649.63697
201	49645.69154
202	49643.05016
203	49640.58383
204	49638.49346
205	49636.19441
206	49632.86006
207	49630.12477
208	49628.43547
209	49625.70455
210	49624.04491
211	49621.50316
212	49618.91502
213	49615.42828
214	49613.57238
215	49610.35636
216	49607.29295
217	49604.17903
218	49602.5771
219	49600.56126
220	49596.94697
221	49593.33046
222	49590.61889
223	49587.65635
224	49585.71308
225	49584.20548
226	49582.46769
227	49580.41143
228	49578.97041
229	49576.83984
230	49574.16998
231	49572.79118
232	49570.08224
233	49568.59698
234	49566.1177
235	49563.12704
236	49561.32074
237	49558.47654
238	49555.23888
239	49553.27462
240	49549.72812
241	49546.87339
